year,num_speeches
2010,7138
2011,9470
2012,6544
2013,9229
2014,6636
2015,9236
2016,6576
2017,9892
2018,7533
2019,9260
2020,5961
2021,7797
2022,6380
2023,10184
2024,8468
2025,7649
