year,avg_word_count
2010,1493.7180025178436
2011,1202.4049630411757
2012,1396.1387530562424
2013,1052.13002492143
2014,1439.9005424954887
2015,1277.5671286271254
2016,1355.3534063260313
2017,1110.301556813606
2018,1420.3536439665709
2019,1095.2146868250518
2020,1015.1000000000001
