period,num_speeches,avg_fk_grade,median_fk_grade,sd_fk_grade,avg_sentence_length,median_sentence_length,sd_sentence_length,avg_word_count,median_word_count,sd_word_count
2010-2014,39017,12.566930355981205,11.752222222222224,4.427059561243642,13.324206932220571,13.324206932220571,NA,1292.732936924936,204,7762.848370622761
2015-2019,42497,12.949396775441661,12.046923076923084,4.486563456368187,13.051123405337739,13.051123405337739,NA,1236.2455938066141,196,9259.713102813723
2020-2025,46439,13.259262285824267,12.24388888888889,4.761827114178158,12.948687041722495,12.948687041722495,NA,1060.2538168350093,129,11015.806909385798
