date,granule_id,title,type,text
President's desk.
  Mr. Speaker, I reserve the balance of my time.
  Mr. McGOVERN. Mr. Speaker, I thank the gentleman from Texas for 
yielding me the customary 30 minutes, and I yield myself such time as I 
may consume.
  Mr. Speaker, we have four bills in this rule today. All of them are 
completely closed--no amendments, no debate, completely closed. I feel 
like I am in Russia. Three of them are from the failed rule last night, 
which was the third failed rule in this Congress, the seventh under 
Speaker Johnson, and the tenth of the reigning Republican majority. 
That alone demonstrates Republicans' inability to govern.

  Then we have the so-called SAVE America Act. The gentleman from Texas 
is going to spend today's debate trying to convince you that this is a 
commonsense, simple bill, but I want you to remember a very few 
important facts while he is talking.
  First of all, it is already illegal for noncitizens to vote in 
Federal elections, period, full stop. If noncitizens are voting in 
Federal elections, they should be prosecuted. We don't disagree on 
that.
  Second, nobody disputes the fact that voters should follow the law 
and indicate who they are. We agree on that, too. Nobody is debating 
that on the floor today.

[[Page H2123]]

  What we are debating is whether we are going to believe the BS 
conspiracy theories cooked up by Donald Trump and MAGA Republicans 
about whether or not elections can be trusted in this country.
  What we are debating is whether, in response to those lies, we are 
going to require Americans to go down to their county clerk, to take 
the train to city hall, or to drive down to the registrar's office and 
jump through bureaucratic hoops just to register to vote.
  Who asked for more red tape? Did Jim Crow call?
  I mean, that is what this bill is about. It is not about voter ID. It 
is about voter registration, and it is about voter suppression.
  We always tell people to vote, make their voices heard, participate 
in our democracy, right? Those are supposed to be good things.
  Why are Republicans passing a bill that makes it as hard as possible 
to vote? I will let them answer that question, but I guess it is about 
what I have come to expect from a party that no longer believes in 
democracy, though.
  Yesterday, in the Rules Committee, I asked the chairman of the 
Committee on House Administration a simple question: Did Donald Trump 
win or lose the State of Minnesota in the last three Presidential 
elections? It is not a curve ball; not a difficult question.
  Of course, anyone living in reality knows the answer to this--Donald 
Trump lost Minnesota three times--but not Donald Trump. He continues 
denying election results. He said just last Friday that because of 
voter fraud, he feels he won Minnesota.
  The Republican chairman of the House Administration Committee, the 
congressional committee which regulates Federal election laws, couldn't 
give me a straight answer, couldn't answer that question. He couldn't 
tell me if he agreed with Donald Trump. He wouldn't say who won 
Minnesota. He went through all kinds of contortions to avoid answering 
the question.
  I mean, this is a simple question. That is shocking, Mr. Speaker. I 
mean, you guys want America to trust you to write our election laws? 
Americans can't even trust you to tell us who won the election.
  Oh, and then here is another thing: One of the changes that were 
made--by the way, this bill didn't go through committee process. I 
mean, this was kind of rushed to the floor. All kinds of major changes 
have been made in the last week, but here is one of the major changes: 
This bill, if passed, was supposed to take effect in the year 2027. 
There is a change in this bill. It takes place immediately, for this 
